# Stock data for AAPL.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:21:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-12,228.57,233.85,228.37,233.41,55824200,0.0,0.0
2025-09-15,236.33,237.52,234.37,236.03,42699500,0.0,0.0
2025-09-16,236.51,240.54,235.65,237.48,63421100,0.0,0.0
2025-09-17,238.3,239.42,237.06,238.32,46508000,0.0,0.0
2025-09-18,239.29,240.52,235.98,237.21,44249600,0.0,0.0
2025-09-19,240.55,245.61,239.53,244.81,163741300,0.0,0.0
2025-09-22,247.6,255.92,247.42,255.36,105517400,0.0,0.0
2025-09-23,255.16,256.61,252.86,253.71,60275200,0.0,0.0
2025-09-24,254.5,255.02,250.33,251.6,42303700,0.0,0.0
2025-09-25,252.5,256.44,251.0,256.15,55202100,0.0,0.0
2025-09-26,253.38,256.87,253.06,254.74,46076300,0.0,0.0
2025-09-29,253.84,254.28,252.3,253.71,40127700,0.0,0.0
2025-09-30,254.14,255.2,252.4,253.91,37704300,0.0,0.0
2025-10-01,254.32,258.06,254.21,254.73,48713900,0.0,0.0
2025-10-02,255.86,257.45,253.43,256.4,42630200,0.0,0.0
2025-10-03,253.95,258.51,253.23,257.29,49155600,0.0,0.0
2025-10-06,257.26,258.34,254.33,255.97,44664100,0.0,0.0
2025-10-07,256.09,256.67,254.71,255.76,31955800,0.0,0.0
2025-10-08,255.8,257.79,255.39,257.33,36496900,0.0,0.0
2025-10-09,257.08,257.27,252.43,253.32,38322000,0.0,0.0
2025-10-10,254.22,255.66,243.31,244.58,61999100,0.0,0.0
2025-10-13,248.68,248.99,244.87,246.96,38142900,0.0,0.0
2025-10-14,245.9,248.15,244.01,247.07,35478000,0.0,0.0
2025-10-15,248.79,251.11,246.77,248.64,33893600,0.0,0.0
2025-10-16,247.55,248.34,244.44,246.75,39777000,0.0,0.0
2025-10-17,247.32,252.67,246.57,251.58,49147000,0.0,0.0
2025-10-20,255.17,263.63,254.91,261.5,90483000,0.0,0.0
2025-10-21,261.14,264.54,261.09,262.03,46695900,0.0,0.0
2025-10-22,261.91,262.11,254.71,257.72,45015300,0.0,0.0
2025-10-23,259.21,259.88,257.28,258.85,32754900,0.0,0.0
2025-10-24,260.45,263.38,258.45,262.08,38253700,0.0,0.0
2025-10-27,264.13,268.36,263.9,268.05,44888200,0.0,0.0
2025-10-28,268.23,269.13,267.39,268.24,41534800,0.0,0.0
2025-10-29,268.52,270.64,266.36,268.94,51086700,0.0,0.0
2025-10-30,271.22,273.37,267.72,270.63,69886500,0.0,0.0
2025-10-31,276.21,276.54,268.4,269.61,86167100,0.0,0.0
2025-11-03,269.66,270.09,265.5,268.29,50194600,0.0,0.0
2025-11-04,267.57,270.72,266.87,269.28,49274800,0.0,0.0
2025-11-05,267.85,270.93,266.18,269.38,43683100,0.0,0.0
2025-11-06,267.13,272.63,267.13,269.01,51204000,0.0,0.0
2025-11-07,269.04,271.52,266.02,267.71,48227400,0.0,0.0
2025-11-10,268.46,273.22,266.96,268.93,41312400,0.26,0.0
2025-11-11,269.31,275.4,269.3,274.74,46208300,0.0,0.0
2025-11-12,274.49,275.22,271.2,272.96,48398000,0.0,0.0
2025-11-13,273.6,276.19,271.59,272.44,49602800,0.0,0.0
2025-11-14,270.55,275.45,269.1,271.9,47431300,0.0,0.0
2025-11-17,268.32,269.99,265.24,266.96,45018300,0.0,0.0
2025-11-18,269.49,270.21,264.83,266.94,45677300,0.0,0.0
2025-11-19,265.04,271.71,265.01,268.06,40424500,0.0,0.0
2025-11-20,270.33,274.92,265.43,265.76,45823600,0.0,0.0
2025-11-21,265.46,272.82,265.18,270.99,59030800,0.0,0.0
2025-11-24,270.4,276.49,270.4,275.41,65585800,0.0,0.0
2025-11-25,274.76,279.86,274.74,276.46,46914200,0.0,0.0
2025-11-26,276.45,279.01,276.12,277.04,33431400,0.0,0.0
2025-11-28,276.75,278.48,275.48,278.33,20135600,0.0,0.0
2025-12-01,277.49,282.89,275.63,282.58,46587700,0.0,0.0
2025-12-02,282.48,286.87,282.11,285.66,53669500,0.0,0.0
2025-12-03,285.67,288.08,282.77,283.62,43538700,0.0,0.0
2025-12-04,283.57,284.2,278.07,280.18,43989100,0.0,0.0
2025-12-05,280.02,280.62,277.53,278.26,47265800,0.0,0.0
2025-12-08,277.61,279.15,275.64,277.37,38211800,0.0,0.0
2025-12-09,277.64,279.51,276.41,276.67,32193300,0.0,0.0
2025-12-10,277.23,279.23,275.93,278.26,33038300,0.0,0.0
2025-12-11,278.58,279.07,273.3,277.51,33248000,0.0,0.0
2025-12-12,277.38,278.7,276.31,277.76,39532900,0.0,0.0
2025-12-15,279.63,279.63,272.33,273.6,50409100,0.0,0.0
2025-12-16,272.31,274.99,271.29,274.1,37648600,0.0,0.0
2025-12-17,274.5,275.65,271.14,271.34,50138700,0.0,0.0
2025-12-18,273.1,273.12,266.45,271.69,51630700,0.0,0.0
2025-12-19,271.65,274.09,269.4,273.16,144632000,0.0,0.0
2025-12-22,272.35,273.37,270.01,270.47,36571800,0.0,0.0
2025-12-23,270.34,271.99,269.06,271.85,29642000,0.0,0.0
2025-12-24,271.83,274.92,271.7,273.3,17910600,0.0,0.0
2025-12-26,273.65,274.86,272.35,272.89,21521800,0.0,0.0
2025-12-29,272.18,273.85,271.84,273.25,23715200,0.0,0.0
2025-12-30,272.3,273.57,271.78,272.57,22139600,0.0,0.0
2025-12-31,272.55,273.17,271.25,271.36,27293600,0.0,0.0
2026-01-02,271.76,277.32,268.5,270.51,37838100,0.0,0.0
2026-01-05,270.14,271.01,265.65,266.76,45647200,0.0,0.0
2026-01-06,266.5,267.05,261.63,261.87,52352100,0.0,0.0
2026-01-07,262.71,263.19,259.33,259.85,48309800,0.0,0.0
2026-01-08,256.54,258.81,255.23,258.56,50419300,0.0,0.0
2026-01-09,258.6,259.73,255.74,258.89,39997000,0.0,0.0
2026-01-12,258.68,260.82,256.32,259.77,45263800,0.0,0.0
2026-01-13,258.24,261.32,257.91,260.57,45730800,0.0,0.0
2026-01-14,259.01,261.33,256.23,259.48,40019400,0.0,0.0
2026-01-15,260.17,260.56,256.57,257.73,39388600,0.0,0.0
2026-01-16,257.42,258.42,254.46,255.06,72142800,0.0,0.0
2026-01-20,252.26,254.32,242.97,246.24,80267500,0.0,0.0
2026-01-21,248.24,251.09,244.73,247.19,54641700,0.0,0.0
2026-01-22,248.74,250.53,247.69,247.89,39708300,0.0,0.0
2026-01-23,246.86,248.95,244.23,247.58,41689000,0.0,0.0
2026-01-26,251.01,256.08,249.34,254.94,55969200,0.0,0.0
2026-01-27,258.69,261.46,257.73,257.79,49648300,0.0,0.0
2026-01-28,257.17,258.38,254.04,255.96,41288000,0.0,0.0
2026-01-29,257.52,259.17,253.94,257.8,67253000,0.0,0.0
2026-01-30,254.7,261.41,251.71,259.0,92443400,0.0,0.0
2026-02-02,259.55,269.99,258.73,269.51,73913400,0.0,0.0
2026-02-03,268.7,271.38,267.11,268.98,64394700,0.0,0.0
2026-02-04,271.79,278.43,271.79,275.98,90545700,0.0,0.0
2026-02-05,277.61,278.98,272.72,275.4,52977400,0.0,0.0
2026-02-06,276.61,280.39,276.42,277.6,50453400,0.0,0.0
2026-02-09,277.65,277.94,271.45,274.37,44623400,0.26,0.0
2026-02-10,274.64,275.12,272.69,273.43,34376900,0.0,0.0
2026-02-11,274.45,279.92,274.2,275.25,51931300,0.0,0.0
2026-02-12,275.34,275.47,259.94,261.49,81077200,0.0,0.0
2026-02-13,261.77,261.99,255.21,255.54,56290700,0.0,0.0
2026-02-17,257.81,266.04,255.3,263.64,58469100,0.0,0.0
2026-02-18,263.36,266.57,262.21,264.11,34203300,0.0,0.0
2026-02-19,262.36,264.24,259.81,260.34,30845300,0.0,0.0
2026-02-20,258.73,264.51,257.92,264.34,42070500,0.0,0.0
2026-02-23,263.25,269.18,263.14,265.93,37308200,0.0,0.0
2026-02-24,267.61,274.64,267.46,271.89,47014600,0.0,0.0
2026-02-25,271.53,274.69,270.8,273.98,33714300,0.0,0.0
